epoch,FID,G_loss,E_loss,feature_matching_distance,g_grad_norm,e_grad_norm,energy_real_mean,energy_real_std,energy_fake_mean,energy_fake_std
5,477.80169677734375,-571.6115112304688,2036.539794921875,36.817694664001465,553.5321463084925,14027.04201074273,-615.1236572265625,103.38591766357422,-596.99853515625,39.8744010925293
10,382.7578125,-1096.3087158203125,2012.7215576171875,117.95375442504883,367.79438548866267,8890.716033570176,-954.845458984375,72.8577651977539,-1091.716552734375,82.22692108154297
15,398.21539306640625,-1110.7640380859375,447.9190673828125,13.274952173233032,248.16318127344238,4781.414720301391,-1052.805908203125,67.46688842773438,-1138.020263671875,40.790794372558594
20,299.2156982421875,-1031.4927978515625,386.47723388671875,10.30870521068573,173.24164297396268,3075.002506273416,-984.57080078125,32.367008209228516,-1030.22607421875,7.116053104400635
25,267.6221618652344,-933.95263671875,212.05581665039062,14.396023035049438,188.59113136893967,2909.5171476524506,-897.730224609375,27.148391723632812,-935.5695190429688,8.779900550842285
30,251.9899139404297,-613.2479858398438,285.6959533691406,21.185646057128906,181.68739918654995,2441.4730955417485,-592.2255859375,49.869850158691406,-627.86474609375,45.384586334228516
35,205.8538360595703,-822.5382690429688,150.34461975097656,12.673450469970703,144.62648340507394,1746.165045640034,-801.0662841796875,14.510878562927246,-827.3422241210938,10.433238983154297
40,229.1473846435547,-883.5729370117188,118.4985580444336,25.53657865524292,127.17493615432129,1278.3468282244748,-851.430419921875,39.483917236328125,-884.1512451171875,14.785540580749512
45,167.8215789794922,-834.5343017578125,77.26622772216797,10.770342707633972,105.33834100314753,976.5457604321751,-813.0946655273438,36.5593147277832,-845.8904418945312,26.907001495361328
50,170.45980834960938,-840.2155151367188,89.69425201416016,9.75856626033783,113.60148405473525,985.2077669143171,-832.0472412109375,17.808311462402344,-844.65771484375,13.862401962280273
55,166.33387756347656,-821.6353759765625,74.53099060058594,10.628809452056885,113.66112450032043,857.6460489841255,-825.0626220703125,39.05330276489258,-828.9942626953125,32.1872444152832
60,165.6148223876953,-775.0379028320312,28.078453063964844,19.711913347244263,93.98586656341388,735.0920395312991,-760.052490234375,19.50555992126465,-775.5415649414062,14.477211952209473
65,154.50680541992188,-777.8598022460938,69.70955657958984,12.945150256156921,104.74944822626314,642.3523093441107,-763.5078125,29.889904022216797,-777.979248046875,18.306215286254883
70,154.91549682617188,-778.6316528320312,26.134227752685547,13.208794832229614,96.29568546825465,574.5070231508354,-775.49658203125,33.51656723022461,-788.5235595703125,21.918699264526367
75,147.26296997070312,-822.1451416015625,36.8040657043457,7.095249176025391,98.18460872744554,504.42804322706786,-821.8317260742188,33.099727630615234,-829.6773681640625,26.291767120361328
80,151.25375366210938,-753.6227416992188,18.763092041015625,9.304430484771729,96.58431492360253,468.92927166948846,-737.8472900390625,28.332931518554688,-757.5303955078125,15.059286117553711
85,151.88597106933594,-721.0304565429688,43.19568634033203,11.322124123573303,90.83064610994535,407.19566873841126,-708.6849975585938,28.446990966796875,-727.3790283203125,23.573740005493164
90,144.1554718017578,-770.7301635742188,23.994449615478516,7.806246221065521,91.92180223747167,394.9536046490722,-761.4442749023438,10.273711204528809,-769.3331909179688,5.419112205505371
95,144.69110107421875,-748.91015625,31.10059928894043,11.177116870880127,89.89259930853106,367.42808836212305,-748.8015747070312,13.761425018310547,-752.2362670898438,9.51292896270752
100,139.9849395751953,-747.0894775390625,21.53343391418457,10.845922470092773,83.47254430547966,327.5159619021,-729.1146240234375,29.91544532775879,-745.2574462890625,18.789886474609375
105,141.65982055664062,-763.2277221679688,11.83867359161377,7.166878342628479,87.12053510025653,312.79121459508514,-760.0770263671875,6.428712368011475,-764.8704223632812,6.007467746734619
110,136.6258087158203,-761.7722778320312,25.235198974609375,7.387909412384033,81.50354581142925,280.51135980235443,-755.3099365234375,15.631647109985352,-761.767333984375,11.725560188293457
115,135.60386657714844,-750.1370239257812,8.802458763122559,11.6391282081604,80.63791251913754,272.0143424062526,-740.036376953125,19.075151443481445,-751.541748046875,11.201969146728516
120,143.08462524414062,-736.6494140625,-12.73082160949707,6.106514811515808,81.65411275133592,255.2779172730673,-719.6756591796875,49.45269775390625,-739.6163330078125,37.8795051574707
125,135.99795532226562,-756.01025390625,12.152610778808594,5.8101500272750854,75.82266330964582,237.94473684798805,-758.2601318359375,19.321617126464844,-761.2909545898438,19.215532302856445
130,135.35153198242188,-765.2852783203125,6.409615516662598,7.846730351448059,74.86159446083386,233.21395484926256,-767.7716064453125,18.141918182373047,-771.7282104492188,15.279764175415039
135,134.80007934570312,-732.0499877929688,3.18782377243042,5.080564260482788,74.61321674129994,229.06372058871398,-730.7451171875,16.401037216186523,-732.76513671875,14.63332748413086
140,126.81938171386719,-739.5763549804688,12.305624008178711,8.946121752262115,77.79212065186184,208.51204067472864,-732.5530395507812,14.620540618896484,-740.4127197265625,10.215178489685059
145,130.039306640625,-770.1206665039062,0.0006592273712158203,5.309002637863159,75.48028239005566,207.44752719406094,-771.4364013671875,19.89706039428711,-773.000732421875,18.14994239807129
150,130.7939453125,-736.5552978515625,16.10309600830078,7.783881306648254,71.98049782711118,198.09545525084224,-735.9791259765625,17.25082015991211,-735.754150390625,13.958428382873535
155,132.722412109375,-746.1898803710938,5.226029396057129,6.811415672302246,71.52318278166904,192.87292540204984,-743.0098266601562,10.499505043029785,-746.306884765625,11.343774795532227
160,125.10584259033203,-741.2816772460938,7.5214009284973145,6.781035900115967,70.71066584503144,189.49885539136304,-743.6022338867188,5.789324760437012,-744.6879272460938,5.919816493988037
165,133.3108367919922,-759.7747192382812,-5.671867370605469,6.893346071243286,71.06566223647737,173.84874985775613,-762.2566528320312,17.820138931274414,-762.2134399414062,16.686931610107422
170,127.82484436035156,-745.5159912109375,2.0205492973327637,7.810166239738464,74.48853043946066,179.02583723679393,-747.8858032226562,9.363454818725586,-747.0549926757812,7.439979076385498
175,119.23223114013672,-716.8280639648438,0.739555835723877,6.963145554065704,64.95292269147517,165.24172852286597,-715.2662963867188,8.582025527954102,-715.4957275390625,8.76806640625
180,124.12535858154297,-720.5593872070312,4.78598690032959,8.83085310459137,69.48482578636585,168.14949192453324,-715.6053466796875,11.249588012695312,-721.8160400390625,7.83390474319458
185,131.32371520996094,-740.9699096679688,5.5842366218566895,7.080782413482666,62.22251972377398,157.0688812653877,-746.3223876953125,10.469468116760254,-744.3309936523438,10.236623764038086
190,121.5251693725586,-737.7728881835938,-0.8762872219085693,6.967813432216644,67.92878226233086,156.02854687679547,-739.1969604492188,6.088542938232422,-738.8408203125,4.801755428314209
195,130.2720184326172,-733.0927124023438,2.20196533203125,7.685160160064697,62.50754216018746,148.27900818689844,-738.1116333007812,7.519916534423828,-736.2810668945312,6.151638984680176
200,127.93262481689453,-724.16162109375,-9.186134338378906,4.853942394256592,59.65490461661547,139.53499264878846,-733.9627075195312,29.24606704711914,-735.223388671875,30.747957229614258
205,118.47349548339844,-740.8663940429688,-7.440802097320557,7.23990261554718,63.66838860691871,145.01181767631664,-742.2762451171875,29.825653076171875,-734.9334716796875,19.441333770751953
210,126.86652374267578,-711.0922241210938,-4.23854923248291,7.540271043777466,61.31574088102524,143.49190099170715,-703.4105224609375,21.984413146972656,-710.919677734375,17.074390411376953
215,119.04248809814453,-729.4408569335938,-7.830824851989746,4.635141730308533,59.68893512722952,135.810164112284,-734.1624145507812,20.126110076904297,-731.1365356445312,14.411739349365234
220,127.73136901855469,-712.7521362304688,-1.0761717557907104,6.694645643234253,61.44117308995843,137.64071503205042,-705.2013549804688,14.052773475646973,-708.307861328125,9.89421272277832
225,120.38726043701172,-701.5602416992188,9.354032516479492,5.142596364021301,60.98384838557515,130.22747970671108,-697.539306640625,14.892288208007812,-700.5548095703125,13.628490447998047
230,125.22555541992188,-705.6784057617188,0.8546189069747925,4.675352096557617,61.33591950136264,135.07372286629194,-705.95361328125,5.385505199432373,-706.9700927734375,4.796926975250244
235,122.95504760742188,-725.3871459960938,27.066429138183594,6.734514117240906,61.952254504954574,127.2613311967829,-723.2704467773438,6.628374099731445,-723.482666015625,5.514546871185303
240,123.22660064697266,-714.5407104492188,1.4874143600463867,6.1819682121276855,60.58409441626998,121.44808811369171,-715.680908203125,12.764284133911133,-719.1961669921875,11.384937286376953
245,127.27542877197266,-700.5437622070312,-6.3651275634765625,5.602653801441193,59.21591847051447,124.41645230009587,-697.9293212890625,17.099788665771484,-698.5982055664062,14.371376991271973
250,122.61656188964844,-704.9319458007812,-1.3507498502731323,6.097557544708252,61.511499156934796,124.47670766402396,-712.9044799804688,14.643896102905273,-716.1497802734375,11.344736099243164
255,124.28787231445312,-715.29833984375,1.7759661674499512,6.637592136859894,58.44086685657665,118.37133719347575,-717.113037109375,6.2008056640625,-716.2890625,5.147539138793945
260,123.25296020507812,-694.5469360351562,-3.637701988220215,4.173836410045624,59.018407418141244,116.98585576506882,-686.87890625,26.04750633239746,-688.4678955078125,24.177978515625
265,117.15677642822266,-705.5526733398438,-3.5810515880584717,7.126466870307922,54.052090772751924,111.77651338722053,-702.5161743164062,17.286243438720703,-705.1787719726562,13.14804458618164
270,125.91072845458984,-697.8927612304688,0.6820723414421082,5.244047999382019,59.566765717593384,111.96973107804145,-703.3915405273438,12.349138259887695,-704.1146240234375,10.577815055847168
275,124.58760070800781,-709.8026733398438,-4.689132213592529,5.274741351604462,52.66044707385408,105.10028030112866,-712.7818603515625,12.273087501525879,-712.940185546875,10.54861831665039
280,121.6773681640625,-707.5668334960938,-0.07607901096343994,7.623333930969238,51.66321041472948,109.66780045856491,-706.812744140625,3.4312050342559814,-707.9932250976562,3.8271522521972656
285,123.07835388183594,-690.422607421875,-6.8108229637146,6.140332818031311,55.11331975594388,104.44522956190413,-696.5038452148438,28.250707626342773,-698.6063842773438,21.1550350189209
290,122.21243286132812,-706.1461791992188,-0.2502274513244629,8.137808680534363,52.99261299478235,107.1143678456689,-707.669189453125,7.826835632324219,-705.0391845703125,5.6783976554870605
295,120.21599578857422,-678.45458984375,-2.457159996032715,7.1307289600372314,54.72127175357476,99.19709468229408,-681.8614501953125,13.937454223632812,-679.7341918945312,11.61826229095459
300,124.70260620117188,-698.4517822265625,3.9523909091949463,4.985939800739288,54.07196292593717,98.03775495123115,-697.3468017578125,11.268848419189453,-699.2120361328125,8.84066104888916
