experiment,image_path,loss,train_fid,eval_fid,train_is,eval_is,changed_params,latent_dim,batchnorm,lr,G_loss,E_loss
base,outputs/gan_images/base.png,-23.779541015625,460.18994140625,494.5022277832031,1.3090711832046509,1.3059629201889038,latent_dim=128,128,True,0.0002,-724.88330078125,677.32421875
latent_64,outputs/gan_images/latent_64.png,-894.7763061523438,370.79547119140625,394.7122802734375,1.2020763158798218,1.2169559001922607,latent_dim=64,64,True,0.0002,-1313.9901123046875,-475.5625
latent_256,outputs/gan_images/latent_256.png,-746.9562072753906,442.4828186035156,468.3983459472656,1.3208802938461304,1.3687349557876587,latent_dim=256,256,True,0.0002,-1360.1854248046875,-133.72698974609375
no_batchnorm,outputs/gan_images/no_batchnorm.png,-16.019058227539062,375.1034851074219,407.8426513671875,1.8659988641738892,1.9084198474884033,batchnorm=False,128,False,0.0002,-510.8495788574219,478.81146240234375
low_lr,outputs/gan_images/low_lr.png,-537.3392639160156,406.9331970214844,428.520263671875,1.2267309427261353,1.2302244901657104,lr=0.0001,128,True,0.0001,-1419.6654052734375,344.98687744140625
